order,prompt,jot_field,target,field_name,,plant_num
138,Plant3 State,state169,plant,plantState,,3
139,Plant3 Province,province300,plant,plantProvince,,3
140,Plant3 Region,region301,plant,plantRegion,,3
141,Plant3 Zip / Postal Code,plant3Zip,plant,plantZip,,3
143,Plant #3 Contact,plant3173,plant,,,3
144,Plant3 Contact Name,contactFirst,plant,contactFirst,,3
144,Plant3 Contact Name,contactLast,plant,contactLast,,3
145,Job Title,jobTitle175,plant,jobTitle,,3
146,Plant3 Contact Phone Number,phoneNumber176,plant,contactPhone,,3
147,Plant3 Contact Email Address,emailAddress177,plant,contactEmail,,3
148,Add an Additional Contact?,addAn178,plant,,,3
149,Name,contactFirst,plant,contactFirst1,,3
149,Name,contactLast,plant,contactLast1,,3
150,Job Title,jobTitle180,plant,jobTitle1,,3
151,Phone Number,phoneNumber181,plant,contactPhone1,,3
152,Email Address,emailAddress182,plant,contactEmail1,,3
153,"If the facility is not located in a major city, please indicate the closest major city and distance",ifThe183,,,,3
154,Briefly summarize the manufacturing process(es) in the facility:,brieflySummarize184,plant,brieflySummarize,,3
155,Are any other products produced in this plant?,areAny187,pant,otherProducts,,3
156,Please briefly list the products that are not part of this application but are being produced in the same plant.,ifYes188,plant,productDesc,,3
157,Are any of these products also produced in a plant not included in this application,areAny185,plant,areAny,,3
158,What is the name and location of the other company producing these products?,whatIs309,,,,3
161,Select preferred method:,selectPreferred191,,,,3
164,Product File Upload,fileUpload194,file,productFileURL2,,3
165,* Enter Product Information:,enterManually195,product,,,3
168,Select preferred method:,selectPreferred198,,,,3
171,Ingredient File Upload,fileUpload201,file,ingredientFileURL2,,3
172,* Enter Ingredient Information:,enterManually202,ingredient,,,
175,Plant4 Name,plantName205,plant,plantName,,4
176,Plant4 Street Address,streetAddress206,plant,plantAddress,,4
177,Plant4 Address Line 2,addressLine207,plant,plantAddress2,,4
178,Plant4 City,city208,plant,plantCity,,4
179,Plant4 Country,country211,plant,plantCountry,,4
180,Plant4 State,state209,plant,plantState,,4
181,Plant4 Province,province302,plant,plantProvince,,4
